Key: 7b7 		 Value: 25
Key: 136 		 Value: 40
Key: ab9 		 Value: 25
Key: 54b 		 Value: 26
Key: 018 		 Value: 27
Key: 33a 		 Value: 19
Key: e29 		 Value: 20
Key: c8c 		 Value: 28
Key: fa6 		 Value: 30
Key: c3a 		 Value: 24
Key: a1b 		 Value: 27
Key: efd 		 Value: 27
Key: 617 		 Value: 26
Key: 84c 		 Value: 27
Key: 39a 		 Value: 29
Key: 274 		 Value: 25
Key: 7f2 		 Value: 32
Key: 287 		 Value: 23
Key: b61 		 Value: 16
Key: 5e3 		 Value: 31
Key: 0dd 		 Value: 21
Key: 691 		 Value: 22
Key: 1cb 		 Value: 25
Key: 3d9 		 Value: 26
Key: 2da 		 Value: 21
Key: 2aa 		 Value: 23
Key: c14 		 Value: 35
Key: 620 		 Value: 21
Key: d2d 		 Value: 17
Key: 8bd 		 Value: 19
Key: 878 		 Value: 33
Key: f08 		 Value: 23
Key: f18 		 Value: 31
Key: d47 		 Value: 22
Key: bc6 		 Value: 31
Key: aa7 		 Value: 25
Key: 65d 		 Value: 30
Key: afa 		 Value: 30
Key: ab4 		 Value: 29
Key: 8bc 		 Value: 17
Key: 1a8 		 Value: 33
Key: 9b5 		 Value: 21
Key: b7b 		 Value: 31
Key: 318 		 Value: 23
Key: b2a 		 Value: 27
Key: 08e 		 Value: 31
Key: cce 		 Value: 25
Key: a12 		 Value: 21
Key: 873 		 Value: 24
Key: 3e5 		 Value: 24
Key: 113 		 Value: 16
Key: a34 		 Value: 37
Key: f65 		 Value: 23
Key: 2a2 		 Value: 27
Key: 02d 		 Value: 28
Key: ef1 		 Value: 22
Key: fd5 		 Value: 23
Key: 65e 		 Value: 32
Key: 182 		 Value: 20
Key: d97 		 Value: 23
Key: cbc 		 Value: 23
Key: 1e5 		 Value: 26
Key: 7ae 		 Value: 30
Key: b45 		 Value: 29
Key: 33c 		 Value: 27
Key: 18c 		 Value: 18
Key: 454 		 Value: 22
Key: 889 		 Value: 28
Key: 58d 		 Value: 17
Key: e36 		 Value: 31
Key: 90a 		 Value: 20
Key: dcb 		 Value: 27
Key: 627 		 Value: 25
Key: 4bb 		 Value: 24
Key: 094 		 Value: 26
Key: cf4 		 Value: 32
Key: a94 		 Value: 25
Key: c06 		 Value: 24
Key: a7d 		 Value: 29
Key: c2a 		 Value: 21
Key: 62a 		 Value: 25
Key: 60d 		 Value: 19
Key: 332 		 Value: 19
Key: 838 		 Value: 26
Key: 049 		 Value: 28
Key: b5c 		 Value: 27
Key: 304 		 Value: 22
Key: 8e3 		 Value: 30
Key: 843 		 Value: 25
Key: dda 		 Value: 18
Key: 75d 		 Value: 31
Key: fc8 		 Value: 36
Key: dd7 		 Value: 33
Key: e70 		 Value: 31
Key: de6 		 Value: 33
Key: 9a2 		 Value: 25
Key: 6d2 		 Value: 19
Key: 75f 		 Value: 24
Key: 127 		 Value: 37
Key: 1ee 		 Value: 26
Key: 839 		 Value: 18
Key: 261 		 Value: 31
Key: b53 		 Value: 23
Key: 782 		 Value: 18
Key: 344 		 Value: 19
Key: a20 		 Value: 20
Key: 435 		 Value: 26
Key: 751 		 Value: 26
Key: 8f5 		 Value: 34
Key: cbe 		 Value: 22
Key: c51 		 Value: 20
Key: 191 		 Value: 27
Key: 562 		 Value: 34
Key: fa9 		 Value: 41
Key: 787 		 Value: 16
Key: 6e9 		 Value: 22
Key: 3d1 		 Value: 25
Key: 4f6 		 Value: 36
Key: 231 		 Value: 25
Key: 43a 		 Value: 25
Key: b1f 		 Value: 25
Key: 0a4 		 Value: 25
Key: 76a 		 Value: 28
Key: 4c7 		 Value: 26
Key: e15 		 Value: 12
Key: 892 		 Value: 32
Key: b30 		 Value: 31
Key: 97c 		 Value: 22
Key: 229 		 Value: 25
Key: 44b 		 Value: 23
Key: 415 		 Value: 23
Key: 547 		 Value: 22
Key: 4e9 		 Value: 24
Key: c82 		 Value: 26
Key: fd6 		 Value: 17
Key: 4ee 		 Value: 30
Key: b33 		 Value: 22
Key: a4a 		 Value: 26
Key: 670 		 Value: 24
Key: f9a 		 Value: 27
Key: d36 		 Value: 38
Key: cc0 		 Value: 30
Key: fad 		 Value: 31
Key: 99f 		 Value: 29
Key: 9e7 		 Value: 27
Key: 9e0 		 Value: 24
Key: aac 		 Value: 23
Key: dc4 		 Value: 30
Key: 3fb 		 Value: 29
Key: a98 		 Value: 25
Key: 572 		 Value: 20
Key: f29 		 Value: 26
Key: 3f4 		 Value: 32
Key: 7e8 		 Value: 26
Key: 5bb 		 Value: 18
Key: 682 		 Value: 40
Key: 5f2 		 Value: 25
Key: 257 		 Value: 28
Key: d82 		 Value: 19
Key: 13e 		 Value: 24
Key: d45 		 Value: 29
Key: d67 		 Value: 26
Key: 111 		 Value: 26
Key: 4cb 		 Value: 36
Key: bf8 		 Value: 26
Key: 895 		 Value: 25
Key: 4c5 		 Value: 28
Key: 07c 		 Value: 20
Key: bb5 		 Value: 30
Key: f92 		 Value: 25
Key: 3ce 		 Value: 19
Key: 85b 		 Value: 33
Key: 069 		 Value: 23
Key: 37e 		 Value: 29
Key: b86 		 Value: 29
Key: c30 		 Value: 27
Key: 323 		 Value: 22
Key: 335 		 Value: 33
Key: 89e 		 Value: 31
Key: cc6 		 Value: 22
Key: 2ed 		 Value: 21
Key: 25d 		 Value: 24
Key: d0a 		 Value: 32
Key: 569 		 Value: 32
Key: b29 		 Value: 23
Key: fb6 		 Value: 17
Key: fd4 		 Value: 31
Key: 840 		 Value: 23
Key: 380 		 Value: 24
Key: 6f9 		 Value: 28
Key: 158 		 Value: 21
Key: 419 		 Value: 23
Key: 76f 		 Value: 19
Key: 833 		 Value: 21
Key: ce0 		 Value: 21
Key: 30b 		 Value: 27
Key: d6c 		 Value: 18
Key: 087 		 Value: 28
Key: eff 		 Value: 26
Key: a8e 		 Value: 28
Key: 9d6 		 Value: 33
Key: 5c8 		 Value: 21
Key: dcc 		 Value: 14
Key: 69c 		 Value: 23
Key: ef5 		 Value: 35
Key: a2a 		 Value: 30
Key: a9d 		 Value: 19
Key: 3a1 		 Value: 31
Key: 17b 		 Value: 21
Key: da9 		 Value: 29
Key: f4f 		 Value: 22
Key: 7d5 		 Value: 21
Key: b60 		 Value: 21
Key: 091 		 Value: 21
Key: 5a7 		 Value: 22
Key: 7fe 		 Value: 29
Key: 46d 		 Value: 27
Key: ee2 		 Value: 23
Key: 19a 		 Value: 17
Key: 058 		 Value: 31
Key: 32f 		 Value: 27
Key: 5af 		 Value: 24
Key: d3e 		 Value: 15
Key: 71c 		 Value: 29
Key: 8a8 		 Value: 36
Key: eab 		 Value: 26
Key: 713 		 Value: 22
Key: ec3 		 Value: 34
Key: 4a9 		 Value: 24
Key: 143 		 Value: 26
