Key: 1821 		 Value: 2
Key: 5ab2 		 Value: 2
Key: 2da4 		 Value: 1
Key: 806e 		 Value: 2
Key: 8815 		 Value: 1
Key: fa07 		 Value: 3
Key: 0897 		 Value: 2
Key: 4c4c 		 Value: 2
Key: ee7f 		 Value: 2
Key: deeb 		 Value: 4
Key: fa40 		 Value: 3
Key: 984f 		 Value: 1
Key: 031c 		 Value: 3
Key: efdf 		 Value: 4
Key: 35b2 		 Value: 3
Key: afd2 		 Value: 2
Key: ad22 		 Value: 2
Key: eda1 		 Value: 5
Key: 0fdc 		 Value: 1
Key: e5f7 		 Value: 6
Key: a854 		 Value: 3
Key: fe54 		 Value: 3
Key: f810 		 Value: 1
Key: a296 		 Value: 4
Key: 062a 		 Value: 4
Key: e907 		 Value: 4
Key: db6b 		 Value: 2
Key: cd23 		 Value: 4
Key: 98e2 		 Value: 3
Key: 6d3f 		 Value: 2
Key: 9f18 		 Value: 2
Key: 9369 		 Value: 1
Key: e428 		 Value: 2
Key: 924b 		 Value: 1
Key: 5319 		 Value: 1
Key: 1aed 		 Value: 2
Key: 083e 		 Value: 2
Key: 9e2e 		 Value: 1
Key: 6156 		 Value: 2
Key: 0592 		 Value: 3
Key: 6653 		 Value: 1
Key: 0ce5 		 Value: 4
Key: e4f1 		 Value: 2
Key: ce4e 		 Value: 2
Key: ebd7 		 Value: 5
Key: f918 		 Value: 3
Key: d494 		 Value: 2
Key: f6ea 		 Value: 2
Key: 8298 		 Value: 1
Key: 5837 		 Value: 1
Key: 025f 		 Value: 2
Key: 6c1c 		 Value: 2
Key: e4ee 		 Value: 2
Key: 7135 		 Value: 1
Key: c0ac 		 Value: 2
Key: 53c2 		 Value: 3
Key: 25c3 		 Value: 2
Key: b0c9 		 Value: 2
Key: 841a 		 Value: 3
Key: 63c3 		 Value: 6
Key: aa9d 		 Value: 1
Key: 4a7a 		 Value: 5
Key: 2168 		 Value: 3
Key: f598 		 Value: 3
Key: d2c2 		 Value: 4
Key: 72e2 		 Value: 2
Key: 40f8 		 Value: 2
Key: 673d 		 Value: 1
Key: c3a5 		 Value: 2
Key: 2de9 		 Value: 3
Key: 4f2d 		 Value: 2
Key: 1537 		 Value: 2
Key: ffad 		 Value: 1
Key: c280 		 Value: 3
Key: 587e 		 Value: 3
Key: eb3e 		 Value: 3
Key: c666 		 Value: 1
Key: 9d18 		 Value: 4
